Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official
9/12/2023,15:00,Man Utd,"""Bmouth""",0,3,[],"[5, 68, 73]",69.0,31.0,20.0,10.0,3.0,4.0,5.0,5.0,12.0,1.0,85.0,70.3,0.0,3.0,10.0,4.0,1.0,2.0,65.2,47.4,61.1,38.9,1.0,3.0,7.0,10.0,9.0,7.0,3.0,1.0,0.0,0.0,Old Trafford,73427,Peter Bankes,Anthony Taylor,Paul Tierney
9/12/2023,15:00,Sheff Utd,Brentford,1,0,[45],[],40.2,59.8,9.0,10.0,4.0,4.0,4.0,3.0,1.0,3.0,72.5,78.5,1.0,0.0,3.0,4.0,1.0,1.0,57.1,73.9,61.5,38.5,4.0,3.0,14.0,13.0,13.0,13.0,5.0,1.0,0.0,0.0,Bramall Lane,28509,Stuart Attwell,Darren England,Robert Jones
9/12/2023,15:00,Wolves,N Forest,1,1,[32],[14],68.1,31.9,10.0,8.0,4.0,2.0,4.0,4.0,2.0,2.0,84.7,68.4,1.0,1.0,4.0,3.0,3.0,1.0,44.4,71.4,36.1,65.7,1.0,3.0,9.0,11.0,11.0,9.0,0.0,1.0,0.0,0.0,Molineux,31543,Samuel Barrott,Tony Harrington,Chris Kavanagh
9/12/2023,17:30,A Villa,Arsenal,1,0,[7],[],38.5,61.5,10.0,12.0,3.0,5.0,2.0,4.0,5.0,3.0,72.3,84.2,0.0,3.0,3.0,3.0,1.0,4.0,54.8,58.1,33.3,66.7,3.0,2.0,16.0,11.0,10.0,16.0,4.0,2.0,0.0,0.0,Villa Park.,,Jarred Gillet,Graham Scott,Michael Salisbury
7/12/2023,19:30,Everton,Newcastle,3,0,"[79, 86, 90]",[],38.5,61.5,21.0,13.0,6.0,3.0,8.0,7.0,7.0,3.0,75.1,83.9,3.0,3.0,5.0,2.0,0.0,2.0,59.1,70.0,65.5,34.5,3.0,3.0,18.0,8.0,8.0,18.0,3.0,0.0,0.0,0.0,Goodison Park,38198,Tim Robinson,Darren England,David Coote
7/12/2023,20:15,Tottenham,West Ham,1,2,[11],"[52, 74]",75.0,25.0,23.0,11.0,7.0,5.0,10.0,4.0,6.0,2.0,91.5,73.3,1.0,1.0,8.0,4.0,1.0,6.0,72.2,65.2,57.9,42.1,3.0,5.0,11.0,12.0,10.0,10.0,3.0,3.0,0.0,0.0,Tottenham Hotspur Stadium,60733,Michael Salisbury,Andy Madley,John Brooks
6/12/2023,19:30,Brighton,Brentford,2,1,"[31, 52]",[27],61.6,38.4,18.0,8.0,7.0,2.0,7.0,3.0,4.0,3.0,86.5,74.0,1.0,0.0,7.0,3.0,1.0,2.0,60.0,67.9,65.8,34.2,0.0,5.0,10.0,8.0,8.0,10.0,3.0,1.0,0.0,0.0,Amex Stadium,30760,Peter Bankes,Graham Scott,Andy Madley
6/12/2023,19:30,C Palace,"""Bmouth""",0,2,[],"[25, 90]",59.1,40.9,16.0,11.0,3.0,4.0,7.0,4.0,6.0,3.0,82.6,72.6,1.0,2.0,3.0,9.0,0.0,0.0,73.9,52.6,48.7,51.3,2.0,3.0,10.0,17.0,16.0,9.0,1.0,3.0,0.0,0.0,Selhurst Park,25078,Craig Pawson,Darren England,Michael Salisbury
6/12/2023,19:30,Fulham,N Forest,5,0,"[30, 73, 34, 54, 86]",[],63.7,36.3,14.0,4.0,6.0,1.0,4.0,3.0,4.0,0.0,88.0,82.3,4.0,0.0,6.0,1.0,2.0,3.0,90.9,61.5,64.0,36.0,1.0,1.0,7.0,10.0,10.0,7.0,0.0,1.0,0.0,0.0,Craven Cottage,24105,Josh Smith,Thomas Bramall,Jarred Gillet
6/12/2023,19:30,Sheff Utd,Liverpool,0,2,[],"[37, 90]",24.3,75.7,6.0,15.0,1.0,8.0,3.0,5.0,2.0,2.0,48.3,83.7,2.0,4.0,2.0,12.0,1.0,4.0,75.0,62.5,31.0,69.0,6.0,1.0,12.0,8.0,8.0,12.0,2.0,3.0,0.0,0.0,Bramall Lane,31406,Simon Hooper,Tony Harrington,Michael Oliver
6/12/2023,20:15,A Villa,Man City,1,0,[74],[],46.1,53.9,22.0,2.0,7.0,2.0,6.0,0.0,9.0,0.0,85.3,87.3,1.0,2.0,6.0,0.0,0.0,5.0,46.7,63.2,75.0,25.0,2.0,6.0,13.0,13.0,13.0,12.0,2.0,2.0,0.0,0.0,Villa Park,41421,John Brooks,Anthony Taylor,Paul Tierney
6/12/2023,20:15,Man Utd,Chelsea,2,1,"[19, 69]",[45],44.8,55.2,28.0,13.0,9.0,3.0,11.0,7.0,8.0,3.0,85.4,85.9,3.0,4.0,12.0,4.0,3.0,1.0,81.3,50.0,35.7,64.3,2.0,7.0,12.0,12.0,12.0,12.0,4.0,0.0,0.0,0.0,Old Trafford,73607,Chris Kavanagh,Tim Robinson,David Coote
5/12/2023,19:30,Wolves,Burnley,1,0,[42],[],51.1,48.9,7.0,12.0,4.0,3.0,3.0,5.0,0.0,4.0,79.2,77.3,2.0,1.0,6.0,8.0,2.0,0.0,70.6,57.9,55.9,44.1,3.0,3.0,11.0,15.0,15.0,10.0,2.0,4.0,0.0,0.0,Molineux,30439,Jarred Gillet,Thomas Bramall,Robert Jones
5/12/2023,20:15,Luton,Arsenal,3,4,"[25, 49, 57]","[20, 45, 60, 90]",33.4,66.6,6.0,23.0,4.0,9.0,1.0,5.0,1.0,9.0,65.9,84.9,1.0,3.0,3.0,8.0,1.0,4.0,60.0,38.5,50.0,50.0,5.0,1.0,14.0,7.0,7.0,14.0,2.0,1.0,0.0,0.0,Kenilworth Road,11112,Samuel Barrott,Darren Bond,Chris Kavanagh
3/12/2023,14:00,"""Bmouth""",A Villa,2,2,"[10, 52]","[20, 90]",37.3,62.7,15.0,11.0,7.0,3.0,5.0,3.0,3.0,5.0,71.6,79.9,4.0,1.0,7.0,7.0,3.0,2.0,76.0,66.7,47.1,52.9,1.0,5.0,16.0,12.0,12.0,16.0,5.0,3.0,0.0,0.0,Vitality Stadium,11191,Thomas Bramall,James Bell,Chris Kavanagh
3/12/2023,14:00,Chelsea,Brighton,3,2,"[17, 65, 21]","[43, 90]",32.4,67.6,8.0,18.0,5.0,9.0,3.0,5.0,0.0,4.0,80.4,89.9,1.0,0.0,5.0,8.0,2.0,3.0,53.8,45.0,55.0,45.0,7.0,2.0,16.0,12.0,12.0,16.0,3.0,5.0,1.0,0.0,Stamford Bridge,39647,Craig Pawson,Michael Salisbury,Jarred Gillet
3/12/2023,14:00,Liverpool,Fulham,4,3,"[20, 38, 87, 88]","[24, 45, 80]",61.2,38.8,26.0,9.0,12.0,5.0,8.0,1.0,6.0,3.0,81.6,72.4,3.0,1.0,3.0,4.0,5.0,1.0,73.3,40.9,44.4,55.6,2.0,9.0,6.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,Anfield.,,Stuart Attwell,Tim Robinson,Paul Tierney
3/12/2023,14:00,West Ham,C Palace,1,1,[13],[53],54.5,45.5,9.0,9.0,3.0,2.0,4.0,3.0,2.0,4.0,80.6,73.6,2.0,1.0,2.0,3.0,2.0,0.0,70.6,60.9,51.8,48.2,1.0,2.0,17.0,7.0,7.0,16.0,2.0,0.0,0.0,0.0,London Stadium,62459,Michael Oliver,Darren Bond,Peter Bankes
3/12/2023,16:30,Man City,Tottenham,3,3,"[9, 31, 81]","[6, 69, 90]",55.0,45.0,17.0,8.0,4.0,4.0,9.0,1.0,4.0,3.0,87.6,85.2,4.0,1.0,10.0,8.0,2.0,2.0,57.1,46.2,52.9,47.1,1.0,2.0,14.0,14.0,13.0,13.0,4.0,4.0,0.0,0.0,Etihad Stadium,53473,Simon Hooper,Anthony Taylor,Robert Jones
